distretto,day_of_year,precipitation_p1,precipitation_p10,precipitation_p25,precipitation_p75,precipitation_p50,precipitation_p95,precipitation_p99
7659.0,161.0,0.0,0.0,0.0,0.018245443291983812,0.0,10.941006151409928,15.711672174961278
7656.0,161.0,0.0,0.0,0.0,0.654939880161404,0.0,14.928600399409614,18.973055989316702
7669.0,161.0,0.0,0.0,0.0,3.4724982693714104,0.0,18.677472194759723,21.484552829741588
7668.0,161.0,0.0,0.0,0.0,0.9525842154251083,0.0,17.39885936192109,20.019074630811826
7670.0,161.0,0.0,0.0,0.0,5.509605275891829,0.0,14.210537067596803,17.478566386006886
7639.0,161.0,0.0,0.0,0.0,2.902897618982761,0.0,19.68652500124802,26.89046934449988
7680.0,161.0,0.0,0.0,0.0,0.9352198797702092,0.0,17.116857924036047,22.377801069503477
7679.0,161.0,0.0,0.0,0.0,1.4313202368934503,0.0,18.948407204457357,25.210049564052543
7688.0,161.0,0.0,0.0,0.0,3.0849092548523815,0.0,15.124670531683009,19.859720414271237
7672.0,161.0,0.0,0.0,0.0,5.777304951599243,0.0,14.970450671793829,16.350658844300057
7678.0,161.0,0.0,0.0,0.0,3.021848526473615,0.0,18.83178842067076,21.114972983299634
7676.0,161.0,0.0,0.0,0.0,8.245250161807219,0.0,21.463708238409588,23.587481552547377
7671.0,161.0,0.0,0.0,0.0,4.6089631280273045,0.0,13.763818872813852,15.67713780180369
7674.0,161.0,0.0,0.0,0.0,2.255237133960287,0.0,16.32783893311825,18.43191464114212
7673.0,161.0,0.0,0.0,0.0,5.416499110703743,0.0,17.343430629093692,19.621489834835472
7677.0,161.0,0.0,0.0,0.0,4.250161737176563,0.0,17.13001642766731,20.631178074379356
7675.0,161.0,0.0,0.0,0.0,7.823750485755569,0.0,16.23810281721946,19.101950311908997
7657.0,162.0,0.0,0.0,0.0,3.836774464763204,0.0,15.919963837085517,19.297951602805167
11058.0,162.0,0.0,0.0,0.0,3.968641996383667,0.0,14.020313262939453,15.195534706115723
7662.0,162.0,0.0,0.0,0.0,8.47483650376795,0.0,18.56726495274958,20.316897892768697
7661.0,162.0,0.0,0.0,0.0,4.908613876902823,0.0,18.59344922620523,20.251819747409737
7663.0,162.0,0.0,0.0,0.0,4.338217073984279,0.0,17.55196817970387,21.07366301322289
7667.0,162.0,0.0,0.0,0.0,3.9599408782259404,0.0,17.178873824405766,18.925511049437
7660.0,162.0,0.0,0.0,0.0,7.783637371236739,0.0,21.90861150132518,25.399459585790503
7658.0,162.0,0.0,0.0,0.0,2.741966925484272,0.0,20.772010813528006,25.013842474711154
7666.0,162.0,0.0,0.0,0.0,5.116947803091494,0.0,17.603514034190077,19.595796503919235
7659.0,162.0,0.0,0.0,0.0,5.0204909886178495,0.0,17.065673030863735,20.27259280616841
